FID,ID,Nimi,Namn,Name,Osoite,Address,City,Stad,Operator,Capacity,x,y
302,240,Viikin normaalikoulu,Normalskolan i Vik,Viikki Teacher Training School,Kevättori,Vårtorget, , , ,20,25.02759403,60.22746497
303,241,Agronominkatu,Agronomgatan,Agronominkatu,Latokartanontori,Ladugårdstorget, , , ,24,25.0328574,60.234053
304,242,Von Daehnin katu,Von Daehns gata,Von Daehnin katu,Von Daehnin katu 14,Von Daehns gata 14, , , ,14,25.04361788,60.23034435
305,243,Mustikkamaa,Blåbärslandet,Mustikkamaa,Mustikkamaantie 8,Blåbärslandsvägen 8, , , ,20,24.99210541,60.18184439
306,244,Relanderinaukio,Relandersplatsen,Relanderinaukio,Ståhlbergintie 6,Ståhlbergsvägen 6, , , ,16,25.00580791,60.18585473
307,245,Kulosaari (M),Brändö (M),Kulosaari (M),Ukko-Pekan porras,Ukko-Pekkas trappstig, , , ,20,25.00646369,60.18892931
308,246,Tupasaarentie,Stugövägen,Tupasaarentie,Risto Rytin tie 30,Risto Rytis väg 30, , , ,12,25.01532898,60.18788712
309,247,Haakoninlahdenkatu,Håkanviksgatan,Haakoninlahdenkatu,Koirasaarentie 33,Hundholmsvägen 33, , , ,16,25.02086096,60.16886855
310,248,Gunillantie,Gunillavägen,Gunillantie,Koirasaarentie 32,Hundholmsvägen 32, , , ,16,25.03301224,60.17199385
311,249,Isosaarentie,Mjölövägen,Isosaarentie,Köökarinkuja 3,Kökargränden 3, , , ,14,25.0450148,60.1755055
312,250,Reiherintie,Reihersvägen,Reiherintie,Laajasalontie 13,Degerövägen 13, , , ,12,25.04749626,60.1677305
313,251,Laajasalon ostoskeskus,Degerö köpcentrum,Laajasalo shopping center,Yliskylän puistokatu 4,Uppby parkgata 4, , , ,16,25.05191201,60.18000915
314,252,Humalniementie,Humleuddsvägen,Humalniementie,Ryytikuja 2,Kryddgränden 2, , , ,14,25.05306036,60.18370629
315,253,Tammisalon aukio,Tammelundsplatsen,Tammisalon aukio,Väylänrinne 1,Båtledsbrinken 1, , , ,20,25.06106044,60.19166365
316,254,Agnetankuja,Agnetagränden,Agnetankuja,Laivalahdenkaari 24,Båtviksbågen 24, , , ,16,25.03650067,60.18721135
317,255,Laivalahden puistotie,Båtsviksallén,Laivalahden puistotie,Laivalahden puistotie 10,Båtsvikallén 10, , , ,16,25.03132424,60.18796169
318,256,Herttoniemenranta,Hertonäs strand,Herttoniemenranta,Paasivaarankatu 1,Paasivaaragatan 1, , , ,14,25.02610749,60.19022412
319,257,Margareetankuja,Margaretagränden,Margareetankuja,Margareetankuja 4,Margaretagränden 4, , , ,14,25.03722671,60.19102675
320,258,Abraham Wetterin tie,Abraham Wetters väg,Abraham Wetterin tie,Sorvaajankatu 1,Svarvaregatan 1, , , ,16,25.04265339,60.1927662
321,259,Petter Wetterin tie,Petter Wetters väg,Petter Wetterin tie,Hitsaajankatu 16,Svetsargatan 16, , , ,20,25.03108061,60.19315
322,260,Herttoniemi (M),Hertonäs (M),Herttoniemi (M),Hiihtäjäntie 2,Skidlöparvägen 2, , , ,24,25.02890744,60.1946246
323,261,Asentajanpuisto,Montörsparken,Asentajanpuisto,Asentajankatu 8,Montörsgatan 8, , , ,16,25.04245829,60.19915348
324,262,Siilitie (M),Igelkottsvägen (M),Siilitie (M),Siilitie 2,Igelkottsvägen 2, , , ,22,25.04514991,60.20594128
325,263,Herttoniemen kirkko,Hertonäs kyrka,Herttoniemi Church,Karhutie 11,Björnvägen 11, , , ,16,25.03222542,60.19847209
326,264,Eränkävijäntori,Jägartorget,Eränkävijäntori,Hiihtomäentie 39,Skidbacksvägen 39, , , ,16,25.03362553,60.20457962
327,265,Siilitie 9,Igelkottsvägen 9,Siilitie 9,Siilitie 12,Igelkottsvägen 12, , , ,16,25.03752681,60.20945315
328,266,Siilitie 13,Igelkottsvägen 13,Siilitie 13,Sopulirinne 2,Lemmelbrinken 2, , , ,14,25.04384038,60.2150937
329,267,Roihupelto,Kasåkern,Roihupelto,Viilarintie 6,Filarvägen 6, , , ,16,25.0550878,60.20936712
330,268,Porolahden koulu,Porovikens skola,Porolahti school,Roihuvuorentie 6b,Kasbergsvägen 6b, , , ,14,25.05358094,60.19552334
331,269,Peukaloisentie,Tummelitens väg,Peukaloisentie,Untuvaisentie 2,Dunungens väg 2, , , ,12,25.05854692,60.19870829
332,270,Tulisuontie,Kaskärrsvägen,Tulisuontie,Roihuvuorentie 25,Kasbergsvägen 25, , , ,16,25.06007552,60.20207418
333,271,Prinsessantie,Prinsessvägen,Prinsessantie,Prinsessantie 2,Prinsessvägen 2, , , ,16,25.05986335,60.20629431
334,272,Marjaniementie,Maruddsvägen,Marjaniementie,Rakettipolku 5,Raketstigen 5, , , ,16,25.07606936,60.20432488
335,274,Voikukantie,Smörblommevägen,Voikukantie,Kauppakartanonkatu 10,Handelshusgatan 10, , , ,16,25.0867813,60.20901595
336,275,Itäkeskus (M),Östra centrum (M),Itäkeskus (M),Tallinnanaukio 2,Revalsplanen 2, , , ,28,25.07597444,60.20961862
337,276,Puotinharju,Botbyhöjden,Puotinharju,Turunlinnantie 4,Åbohusvägen 4, , , ,24,25.0824161,60.21255603
338,277,Marjaniemi,Marudd,Marjaniemi,Marjaniementie 23,Maruddsvägen 23, , , ,14,25.08634436,60.20361993
339,278,Puotilantie,Botbygårdsvägen,Puotilantie,Puotilantie 4,Botbygårdsvägen 4, , , ,14,25.10041803,60.20907879
340,279,Puotinkylän kartano,Botby gård,Puotinkylä Manor,Puotilantie 12,Botbygårdsvägen 12, , , ,16,25.10620999,60.21253744
341,280,Puotilan ostoskeskus,Botby köpcentrum,Puotila shopping center,Klaavuntie 11,Klåvusvägen 11, , , ,14,25.09555951,60.21270056
342,281,Puotila (M),Botby gård (M),Puotila (M),Vanhanlinnantori,Vanhalinnatorget, , , ,20,25.09109159,60.2148243
343,282,Karhulantie,Karhulavägen,Karhulantie,Kiviportintie 2,Stenportsvägen 2, , , ,12,25.10220192,60.21870643
344,283,Alakiventie,Understensvägen,Alakiventie,Alakiventie 4,Understensvägen 4, , , ,14,25.07728223,60.21983978
345,284,Myllypuro (M),Kvarnbäcken (M),Myllypuro (M),Kivensilmänkuja 1,Kvarnögsgränden 1, , , ,28,25.07539017,60.22408826
346,285,Orpaanporras,Lättan,Orpaanporras,Orpaanporras 14,Lättan 14, , , ,14,25.06541782,60.22354883
347,286,Mamsellimyllynkatu,Mamsellskvarnsgatan,Mamsellimyllynkatu,Mamsellimyllynkatu 26,Mamsellkvarnsgatan 26, , , ,16,25.05910307,60.21824578
348,290,Vallilan varikko,Vallgårds depå,Vallilan varikko,Hämeentie 86,Tavastvägen 86, , , ,20,24.96282314,60.19524595
349,291,Itäkeskus Metrovarikko,Östrä Centrum depå,Itäkeskus Metrovarikko,Metrovarikonkuja 6,Metrodepågränden 6, , , ,16,25.06578182,60.21146073
350,292,Koskelan varikko,Forsby depå,Koskelan varikko,Valtimontie 10,Valtimovägen 10, , , ,16,24.96985712,60.21258729
351,293,Korkeasaari,Högholmen,Korkeasaari,Mustikkamaanpolku 12,Blåbärslandsstigen 12, , , ,16,24.98252693,60.17990613
352,294,Postipuisto,Postipuisto,Postipuisto,Niittylänpolku 16,Ängsskogsstigen 16, , , ,18,24.93373696,60.22030126
353,301,Aurinkotuulenkatu,Solvindsgatan,Aurinkotuulenkatu,Solvikinkatu 21,Solviksgatan 21, , , ,30,25.15934635,60.2027734
354,302,Sumukuja,Dimgränden,Sumukuja,Sumukuja 2,Dimgränden 2, , , ,18,25.15840938,60.20544673
355,303,Leikosaarentie,Lekholmsvägen,Leikosaarentie,Leikosaarentie 25,Lekholmsvägen 25, , , ,16,25.15154626,60.2046813
356,304,Aurinkolahdenaukio,Solviksplatsen,Aurinkolahdenaukio,Aurinkoranta 8,Solstranden 8, , , ,24,25.15011353,60.20113608
357,305,Kalkkihiekantie,Kalksandsvägen,Kalkkihiekantie,Kalkkihiekantie 1,Kalksandsvägen 1, , , ,16,25.14304029,60.2021242
358,306,Kauppakeskus Columbus,Köpcentrum Columbus,Shopping Center Columbus,Valkopaadentie 1,Vithällsvägen 1, , , ,20,25.14550436,60.2063719
359,315,Vuosaaren liikuntapuisto,Nordsjö idrottspark,Vuosaaren liikuntapuisto,Pallokuja 4,Bollgränden 4, , , ,18,25.15346457,60.21229761
360,308,Mosaiikkitori,Mosaiktorget,Mosaiikkitori,Mosaiikkitori 1,Mosaiktorget 1, , , ,24,25.14385259,60.20797536
361,309,Kaivonkatsojanpuisto,Brunnsökarparken,Kaivonkatsojanpuisto,Kaivonkatsojantie 5,Brunnsökarvägen 5, , , ,18,25.13599933,60.20440477
362,310,Halkaisijantie,Klyvarvägen,Halkaisijantie,Halkaisijantie 4,Klyvarvägen 4, , , ,18,25.12790982,60.20238693
363,311,Ramsinniementie,Ramsöuddsvägen,Ramsinniementie,Ramsinniementie 1,Ramsöuddsvägen 1, , , ,18,25.11990608,60.19956365
364,312,Meri-Rastilan tori,Havsrastböletorget,Meri-Rastilan tori,Meri-Rastilan kuja 2,Havsrastbölegränden 2, , , ,16,25.11942241,60.20415423
365,313,Rastila (M),Rastnöle (M),Rastila (M),Karavaanisilta 3,Karavanbron 3, , , ,16,25.12014086,60.20553547
366,314,Lokitie,Loggvägen,Lokitie,Vuosaarentie 1,Nordsjövägen 1, , , ,18,25.1365036,60.20955807
367,316,Punakiventie,Rödstensvägen,Punakiventie,Punakiventie 12,Rödstensvägen 12, , , ,16,25.14675006,60.21400149
368,317,Haapasaarentie,Aspholmsvägen,Haapasaarentie,Marielundinaukio 1,Marielundsplatsen 1, , , ,18,25.14678718,60.21877663
369,318,Vuosaaren puistopolku,Nordsjö parkstig,Vuosaaren puistopolku,Mustalahdenpolku 2,Svartviksstigen 2, , , ,14,25.14109536,60.2213209
370,319,Purjetie,Segelvägen,Purjetie,Kallvikintie,Kallviksvägen, , , ,18,25.13382869,60.21964832
371,320,Koukkusaarentie,Krokholmsvägen,Koukkusaarentie,Kallvikintie,Kallviksvägen, , , ,16,25.13423251,60.21398072
372,321,Vartioharjuntie,Botåsvägen,Vartioharjuntie,Vartioharjuntie 13,Botåsvägen 13, , , ,14,25.11091441,60.22088947
373,322,Rukatunturintie,Rukatunturivägen,Rukatunturintie,Mellunmäentie 27,Mellungsbackavägen 27, , , ,14,25.12759698,60.23128135
374,323,Sallatunturintie,Sallatunturivägen,Sallatunturintie,Sallatunturintie 2,Sallatunturivägen 2, , , ,16,25.11830002,60.23674091
375,325,Mellunmäki (M),Mellungsbacka (M),Mellunmäki (M),Pallaksentie 3,Pallasvägen 3, , , ,20,25.10987474,60.23853535
376,324,Sinkilätie,Märlvägen,Sinkilätie,Untamalantie 2,Untamalavägen 2, , , ,16,25.11106023,60.23296145
377,327,Humikkalankuja,Humikkalagränd,Humikkalankuja,Rintinpolku 2,Grindstigen 2, , , ,16,25.09006415,60.22982499
378,328,Lallukankuja,Lallukkagränden,Lallukankuja,Lallukankuja 1,Lallukkagränden 1, , , ,12,25.08297117,60.22352658
379,329,Kurkimäki,Tranbacka,Kurkimäki,Kurkimäentie 3,Tranbackavägen 3, , , ,16,25.07164165,60.22829039
380,330,Kontula (M),Gårdsbacka (M),Kontula (M),Kontulankaari 1,Gårdsbackabågen 1, , , ,20,25.08260955,60.23609535
381,326,Tuukkalantie,Tuukkalavägen,Tuukkalantie,Aarteenetsijäntie 10,Skattsökarvägen 10, , , ,16,25.10072322,60.23884425
382,331,Lettopolku,Gungflystigen,Lettopolku,Lettopolku 2,Gungflystigen 2, , , ,16,25.08552977,60.24091394
383,332,Kontulankaari,Gårdsbackabågen,Kontulankaari,Kontulankaari 7,Gårdsbackabågen 7, , , ,16,25.07622658,60.24384164
384,333,Kivikonkaari,Stensbölebågen,Kivikonkaari,"Kontulankaari 8, toinen puoli","Gårdsbackabågen 8, andra sidan", , , ,14,25.07464334,60.23990429
385,334,Varustuksentie,Rustningsvägen,Varustuksentie,Varustuksentie 1,Rustningsvägen 1, , , ,14,25.06685726,60.23913101
386,335,Kurkimäentie,Tranbackavägen,Kurkimäentie,Kivikonkaari 30,Stensbölebågen 30, , , ,16,25.06260836,60.23319439
387,336,Kivikonlaita,Stensbölekanten,Kivikonlaita,Kivikonlaita 2,Stensbölekanten 2, , , ,16,25.05491523,60.23046218
388,337,Kivikon liikuntapuisto,Stensböle idrottspark,Kivikko sports park,Savikiekontie 6,Lerduvevägen 6, , , ,16,25.05246958,60.23703582
389,338,Jakomäentie,Jakobackavägen,Jakomäentie,Jakomäentie 18,Jakobackavägen 18, , , ,16,25.07437759,60.25377123
390,340,Jakomäki,Jakobacka,Jakomäki,Jakomäenkuja 2,Jakobackagränden 2, , , ,16,25.0759056,60.26101941
391,339,Alppikylä,Alpbyn,Alppikylä,Tattariharjuntie 51,Tattaråsvägen 51, , , ,14,25.06489421,60.25943112
392,341,Heikinlaakso,Henriksdal,Heikinlaakso,Vanha Porvoontie 32,Gamla Borgåvägen 32, , , ,16,25.07271271,60.27019655
393,342,Puistolan VPK,Parkstads FBK,Puistolan VPK,Puistolan raitti 5,Parkstads bygata 5, , , ,18,25.05753557,60.27008566
394,343,Puistolantori,Parkstads torg,Puistolantori,Puistolantori 1,Parkstads torg 1, , , ,12,25.0458546,60.27436993
395,344,Puistolan asema,Parkstad järnvägsstation,Puistolan asema,Tapulikaupungintie 1,Stapelstadsvägen 1, , , ,16,25.03435012,60.2751896
396,346,Maatullinkuja,Landtullsgränden,Maatullinkuja,Maatullinkuja 17,Landtullsgränden 17, , , ,18,25.02469198,60.27623679
397,347,Sateenkaarentie,Regnbågsvägen,Sateenkaarentie,Suutarilantie 60,Skomakarbölevägen 60, , , ,18,25.01106298,60.28075608
398,348,Siltamäki,Brobacka,Siltamäki,Jousimiehentie 3,Skyttens väg 3, , , ,12,24.98939662,60.27446709
399,349,Töyrynummentie,Lidmalmsvägen,Töyrynummentie,Töyrynummentie 2,Lidmalmsvägen 2, , , ,16,25.00397029,60.27196238
400,350,Töyrynummi,Lidamalmen,Töyrynummi,Pertunpellontie 4,Bertåkersvägen 4, , , ,14,24.99299022,60.26714677
401,351,Kotinummentie,Hemmalmsvägen,Kotinummentie,Kotinummentie 68,Hemmalmsvägen 68, , , ,16,25.01357237,60.2675063
402,345,Porvarintie,Borgarvägen,Porvarintie,Porvarintie 8-10,Borgarvägen 8-10, , , ,16,25.03265533,60.27189034
403,353,Helluntairaitti,Pingststråket,Helluntairaitti,Tasankotie 14,Slättvägen 14, , , ,20,25.0368876,60.2632143
404,352,Tapanilan asema,Mosabacka järnvägsstation,Tapanila railway station,Sompiontori 1,Sompiotorget 1, , , ,12,25.02812397,60.26330395
405,354,Saniaiskuja,Ormbunksgränden,Saniaiskuja,Saniaiskuja 1,Ormbunksgränden 1, , , ,16,25.02909058,60.25909157
406,355,Halmetie,Brännvägen,Halmetie,Vanha Tapaninlantie 70,Gamla Staffansbyvägen 70, , , ,16,25.01765775,60.26090681
407,356,Laulurastaantie,Trastvägen,Laulurastaantie,Laulurastaantie 25,Trastvägen 25, , , ,14,25.00331024,60.26088465
408,357,Vanha Tapanilantie,Gamla Staffansbyvägen,Vanha Tapanilantie,Kirkonkyläntie 79,Kyrkobyvägen 79, , , ,16,24.98975388,60.25969904
409,358,Syystie,Höstvägen,Syystie,Kirkonkyläntie 34,Kyrkobyvägen 34, , , ,18,24.99860558,60.25667117
410,359,Malmin sairaala,Malms sjukhus,Malmi Hospital,Kirkonkyläntie 23,Kyrkobyvägen 23, , , ,16,25.00282802,60.25415862
411,360,Malmin asema,Malm järnvägsstation,Malmi railway station,Ylä-Malmin tori 3,Övre Malms torg 3, , , ,24,25.00912157,60.25232553
412,361,Huhtakuja,Fallåkersgränden,Huhtakuja,Kotinummentie 5,Hemmalmsvägen 5, , , ,16,25.01310802,60.25756333
413,362,Teerisuontie,Orrmossevägen,Teerisuontie,Teerisuontie 27,Orrmossevägen 27, , , ,14,25.02149008,60.25339409
414,364,Ala-Malmin tori,Nedre Malms torg,Ala-Malmin tori,Pikkalankatu 5,Pickalagatan 5, , , ,20,25.01323714,60.25030635
415,363,Väärämäentie,Vindobackavägen,Väärämäentie,Väärämäentie 2-4,Vindobackavägen 2-4, , , ,12,25.0297267,60.24269283
416,365,Karviaistie,Stickelvägen,Karviaistie,Karviaistie 3,Stickelvägen 3, , , ,16,25.00786044,60.2468453
417,366,Tilketori,Drevtorget,Tilketori,Tilketori 1,Drevtorget 1, , , ,20,25.00399305,60.24982656
418,367,Karhusuontie,Björnkärrsvägen,Karhusuontie,Karhusuontie 27,Björnkärrsvägen 27, , , ,14,24.98706493,60.25177958
419,372,Jokipellontie,Åfältsvägen,Jokipellontie,Jokipellontie 10,Åfältsvägen 10, , , ,16,24.98332148,60.24521779
420,368,Pukinmäen liikuntapuisto,Bocksbacka idrottspark,Pukinmäki sports park,Kenttätie 10,Fältvägen 10, , , ,14,24.99172391,60.24773234
421,369,Pukinmäen asema,Bocksbacka järnvägsstation,Pukinmäki railway station,Pukinmäenaukio 4,Bocksbackaplanen 4, , , ,16,24.99399523,60.24308645
422,370,Rapakiventie,Örstensvägen,Rapakiventie,Lucina Hagmanin kuja 1,Lucina Hagmans gränd 1, , , ,16,25.00136762,60.23931968
423,391,Tollinpolku,Tollsstigen,Tollinpolku,Luutnantinpolku 7a,Juustensvägen 4, , , ,12,24.86771102,60.24590853
424,373,Mikkolantie,Mickelsvägen,Mikkolantie,Mikkolantie 12,Mickelsvägen 12, , , ,16,24.97154425,60.23556664
425,374,Etupellonpuisto,Framåkersparken,Etupellonpuisto,Yhdyskunnantie 22,Samhällsvägen 22, , , ,18,24.95944937,60.24198627
426,375,Piikintie,Piksvägen,Piikintie,Yhdyskunnantie 54,Samhällsvägen 54, , , ,12,24.95814404,60.24885591
427,376,Torpparinmäentie,Torparbacksvägen,Torpparinmäentie,Kuusmiehenkaari 5,Sexmansbågen 5, , , ,14,24.94476827,60.25688071
428,379,Paloheinän kirjasto,Svedängens bibliotek,Paloheinän kirjasto,Paloheinäntie 22,Svedängsvägen 22, , , ,18,24.94166821,60.24950971
429,377,Paloheinän maja,Svedängens stuga,Paloheinän maja,Pakilantie 124,Baggbölevägen 124, , , ,20,24.91830089,60.25523561
430,378,Paloheinäntie,Svedängsvägen,Paloheinäntie,Pakilantie 91,Baggbölevägen 91, , , ,16,24.92385807,60.24699181
431,380,Pirkkolan liikuntapuisto,Britas idrottspark,Pirkkolan liikuntapuisto,Pirkkolan metsätie 6,Britas skogsväg 6, , , ,14,24.90975085,60.2327348
432,381,Maununneva,Magnuskärr,Maununneva,Kaarelantie 14,Kårbölevägen 14, , , ,14,24.89899983,60.24440858
433,307,Ulappasilta,Fjärdbron,Ulappasilta,Ulappasilta 1,Fjärdbron 1, , , ,18,25.14104587,60.20661604
434,382,Hakuninmaa,Håkansåker,Hakuninmaa,Perhekunnantie 8,Husfolksvägen 8, , , ,16,24.8970699,60.25296715
435,383,Kuninkaantammi,Kungseken,Kuninkaantammi,Kuninkaantammenkierto 22,Kungseksringen 22, , , ,20,24.8927574,60.25925605
436,384,Kalannintie,Kalantivägen,Kalannintie,Kalanninpolku,Kalantistigen, , , ,14,24.88410754,60.25280663
437,386,Kannelmäen liikuntapuisto,Gamlas idrottspark,Kannelmäen liikuntapuisto,Kanneltie 12,Kantelevägen 12, , , ,16,24.8788005,60.24374634
438,385,Pajupillintie,Videlåtsvägen,Pajupillintie,Vanhaistentie 3,Gamlasvägen 3, , , ,16,24.88610263,60.2432353
439,387,Kauppakeskus Kaari,Köpcentrum Kaari,Shopping Center Kaari,Kantelettarentie 1,Kanteletarvägen 1, , , ,16,24.88947967,60.23633055
440,388,Kaustisentie,Kaustbyvägen,Kaustisentie,Pelimannintie,Spelmansvägen, , , ,16,24.88145171,60.23780652
441,389,Kannelmäen asema,Gamlas järnvägsstation,Kannelmäki railway station,Sitratori 2,Cittertorg 2, , , ,20,24.87664725,60.23934599
442,371,Savela,Lerstrand,Savela,Ratavallintie 6,Banvallsvägen 6, , , ,14,24.99138726,60.24049485
443,390,Trumpettikuja,Trumpetgränden,Trumpettikuja,Trumpettitie 3,Trumpetvägen 3, , , ,16,24.86911,60.23915611
444,392,Viljelijäntie,Odlarvägen,Viljelijäntie,Viljelijäntie 5,Odlarvägen 5, , , ,16,24.85729796,60.24323344
445,393,Malminkartanon asema,Malmgård järnvägsstation,Malminkartano railway station,Luutnantinaukio,Löjtnantsplatsen, , , ,20,24.86311564,60.24781786
446,394,Tuohipolku,Näverstigen,Tuohipolku,Tuohipolku 1,Näverstigen 1, , , ,12,24.85743226,60.25156469
447,395,Honkasuo,Hongasmossa,Honkasuo,Naapuripellontie 27,Naboängsvägen 27, , , ,16,24.84658097,60.25555748
448,396,Malminkartanonhuippu,Malmgårdstoppen,Malminkartano Hill,Naapuripellontie 7,Naboängsvägen 7, , , ,12,24.84864869,60.25040779
449,397,Hankasuontie,Hankmossvägen,Hankasuontie,Malminkartanontie 2,Malmgårdsvägen, , , ,16,24.84758603,60.24474377
450,398,Ajomiehentie,Körkarlsvägen,Ajomiehentie,Ajomiehentie 1,Körkarlsvägen 1, , , ,20,24.85129051,60.2388821
451,399,Vähäntuvantie,Lillstuvägen,Vähäntuvantie,Kylväjäntie 12,Såningsmansvägen 12, , , ,14,24.84616505,60.23245103
452,400,Kuusisaari,Granö,Kuusisaari,Kuusisaarenpolku 1,Granöstigen 1, , , ,16,24.8567966,60.18450834
453,401,Koivusaari (M),Björkholmens metrostation,Koivusaari metro station,Sotkatie 11,Dykandsvägen 11, , , ,16,24.85516427,60.16338631
454,402,Bermudankuja,Bermudagränden,Välimerenkatu,Atlantinkatu 10,Atlantgatan 10, , , ,16,24.91014211,60.15490426
455,403,Verkkosaari,Nätholmen,Verkkosaari,Tukkutorinkuja 3,Partitorgsgränden, , , ,20,24.97754808,60.18955618
456,404,Sompasaari,Sumparn,Sompasaari,Sompasaarenlaituri 2,Sumparkajen 2, , , ,14,24.97607582,60.18293082
457,405,Jollas,Jollas,Jollas,Jollaksentie 33,Jollasvägen 33, , , ,16,25.06166787,60.16440749
